source,type,number,desc
snowflake,properties,1015,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1016,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1016,"{""bank_book_type"": ""InterestOnPrincipal"", ""bearing_interest"": ""NonBearingInterest"", ""financial_type"": ""BalanceSheet"", ""high_quality_liquid_assets_factor"": {""default"": 100}, ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1200,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1200,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1201,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1201,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1202,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
snowflake,properties,1202,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""NonBearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
py,properties,1203,"{""bank_book_type"": ""Principal"", ""bearing_interest"": ""BearingInterest"", ""cash_inflow_factor"": {""fin_deposit_short_term"": 100}, ""financial_type"": ""BalanceSheet"", ""linkage_basis"": ""NonIndexedNis"", ""operation_type"": ""Financial"", ""risk_factor"": {""default"": 20}, ""section_in_balance_sheet"": ""CashAndDepositsWithBanks""}"
